Time,T1_Alpha_OT,T1_Distance,T1_Speed,T2_Alpha_OT,T2_Distance,T2_Speed,T3_Alpha_OT,T3_Distance,T3_Speed,T4_Alpha_OT,T4_Distance,T4_Speed,T5_Alpha_OT,T5_Distance,T5_Speed
1,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
1,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
1,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
2,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
3,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
4,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
5,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
6,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
7,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
8,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
9,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
10,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
11,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
12,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
13,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
14,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
15,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
16,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
17,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
18,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
19,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
20,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
21,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
22,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
23,291.027,0.731,0.0,102.395,1.691,0.0,86.157,0.969,0.0,127.836,2.215,0.0,112.873,2.262,0.0
